car_id,entry_time_min,entry_pk,exit_pk,battery_pct_initial,consumption_pct_per_km,remaining_range_km
0,0.0,87.0,0.0,55.85045255580045,0.18693717557301529,298.7658949302247
1,2.4,87.0,0.0,52.27929161361622,0.1653925134815046,316.0922493596572
2,4.8,87.0,0.0,71.09201918415408,0.1606371312996854,442.5628035620511
3,7.2,87.0,0.0,74.93542136076856,0.16253895792597448,461.0305265701075
4,9.6,87.0,0.0,50.818308416057896,0.22778102930891342,223.10158387746515
5,12.0,87.0,0.0,72.347173791823,0.16745759793203013,432.0327932876967
6,14.4,87.0,0.0,73.68906435680357,0.22097270600950947,333.4758653570201
7,16.8,87.0,0.0,57.58040034726942,0.22018759274537233,261.5061077208656
8,19.2,87.0,0.0,42.68624375167551,0.20228866165125306,211.01649199334202
9,21.6,87.0,0.0,63.702115184383814,0.24603963570842421,258.9099719684014
10,24.0,87.0,0.0,60.197426388287,0.18733263115259044,321.3397795029827
11,26.4,87.0,0.0,77.20658845865398,0.15354424328946678,502.8295871249404
12,28.8,87.0,0.0,67.93307908102142,0.19954120798543812,340.4463657751283
13,31.2,87.0,0.0,52.321472651123685,0.1702529963659473,307.31601656315183
14,33.6,87.0,0.0,87.12527374871708,0.16243307595215475,536.3764321890951
15,36.0,87.0,0.0,47.5003365704311,0.2492493157583717,190.57358864117836
16,38.4,87.0,0.0,74.8884773145601,0.18584362242661445,402.9650107801354
17,40.8,87.0,0.0,79.22214962109632,0.219219624247771,361.38256277438103
18,43.2,87.0,0.0,60.387434612248036,0.17103198556896546,353.076849405446
19,45.6,87.0,0.0,13.752931502546426,0.15135702786030855,90.86417523499057
20,48.0,87.0,0.0,14.390985359011825,0.2474761063325447,58.15100929248506
21,50.4,87.0,0.0,19.590392714289003,0.22233167299890322,88.11336886933624
22,52.8,87.0,0.0,66.18475728513116,0.2207152924720386,299.8648464447283
23,55.2,87.0,0.0,13.526046619041665,0.23184107478538085,58.34189058846864
24,57.6,87.0,0.0,66.01654304825769,0.18191302529322823,362.9016830534519
25,60.0,87.0,0.0,43.590034894870314,0.19363068654119722,225.1194563915158
